Institution Name,State
Syracuse University,NY
Catawba College,NC
Miller-Motte College-Wilmington,NC
Emerson College,MA
Northeastern State University,OK
Indiana Institute of Technology,IN
Skyline College,CA
Bridgewater College,VA
University of North Carolina at Pembroke,NC
Beth Medrash Govoha,NJ
Wake Forest University,NC
University of Arkansas,AR
Rutgers University-Newark,NJ
Rice University,TX
University of Southern California,CA
University of Idaho,ID
University of Nevada-Reno,NV
Milwaukee School of Engineering,WI
St. Francis College,NY
Veritas Baptist College,--
Texas Wesleyan University,TX
Eastern University,PA
Rollins College,FL
Beacon College,FL
Amridge University,--
Berkeley College-New York,NY
SUNY College of Technology at Alfred,NY
Remington College-North Houston Campus,TX
Yeshiva Karlin Stolin,NY
Yeshiva Bais Aharon,NJ
Landmark College,VT
Pacific College of Health and Science,CA
Rogers State University,OK
Rasmussen University-Wisconsin,WI
California State University-Dominguez Hills,CA
The University of Texas at El Paso,TX
Western Michigan University,MI
Helene Fuld College of Nursing,NY
Eastern International College-Jersey City,NJ
West Coast University-Miami,FL
Shippensburg University of Pennsylvania,PA
Lasell University,MA
Utica University,NY
Bentley University,MA
Drury University,MO
California State University-East Bay,CA
Pennsylvania State University-Penn State Beaver,PA
University of Northwestern-St Paul,MN
New Mexico State University-Main Campus,NM
Binghamton University,NY
Charter College,WA
Indiana Institute of Technology-College of Professional Studies,IN
Bridgewater State University,MA
Inter American University of Puerto Rico-San German,PR
University of Missouri-St Louis,MO
Union College,KY
University of California-San Diego,CA
City Vision University,--
University of Alaska Southeast,AK
Colby-Sawyer College,NH
Vermont Technical College,VT
University of Maine at Presque Isle,ME
Metropolitan State University of Denver,CO
Lac Courte Oreilles Ojibwe University,WI
Monmouth College,IL
California College of the Arts,CA
Yeshivah Gedolah Rabbinical College,FL
Charter Oak State College,CT
California Aeronautical University,CA
Purdue University Global,IN
University of South Dakota,SD
Marymount Manhattan College,NY
Miller-Motte College,--
University of Holy Cross,LA
Gwynedd Mercy University,PA
Nueta Hidatsa Sahnish College,ND
Ner Israel Rabbinical College,MD
Pitzer College,CA
